PlayerID, CurrentMissionType, TotalMissionsPlayerHasHadSoFar, ButtonPressType, ThisButtonPressNumber, TimeSinceReceivedMission
1, MissionDefend, 0, UP, 1, 1.488629
2, MissionIntel, 0, UP, 1, 5.618505
4, MissionZone, 0, UP, 1, 6.025861
3, MissionKill, 0, UP, 1, 6.594753
1, MissionDefend, 0, UP, 2, 8.090553
4, MissionZone, 0, DOWN, 1, 9.126333
3, MissionKill, 0, DOWN, 1, 9.534711
2, MissionIntel, 0, DOWN, 1, 9.764233
1, MissionDefend, 0, DOWN, 1, 10.15475
3, MissionKill, 0, UP, 2, 13.94799
4, MissionZone, 0, DOWN, 2, 18.49231
1, MissionDefend, 0, DOWN, 2, 20.75769
3, MissionKill, 0, DOWN, 2, 21.4239
3, MissionKill, 0, UP, 3, 23.25686
3, MissionKill, 0, UP, 4, 34.96266
3, MissionKill, 0, DOWN, 3, 38.06253
2, MissionIntel, 0, UP, 2, 39.07388
2, MissionIntel, 0, DOWN, 2, 40.72022
1, MissionIntel, 1, UP, 1, 16.40539
4, MissionIntel, 1, UP, 1, 7.745773
3, MissionKill, 0, UP, 5, 41.6748
1, MissionIntel, 1, DOWN, 1, 18.03714
4, MissionIntel, 1, DOWN, 1, 11.35023
3, MissionKill, 0, DOWN, 4, 47.32835
4, MissionIntel, 1, DOWN, 2, 14.74619
1, MissionIntel, 1, DOWN, 2, 25.79579
4, MissionIntel, 1, UP, 2, 17.35171
3, MissionKill, 0, UP, 6, 55.02481
3, MissionKill, 0, DOWN, 5, 58.565
1, MissionKill, 2, UP, 1, 3.056418
1, MissionKill, 2, DOWN, 1, 6.06741
4, MissionIntel, 1, UP, 3, 34.33056
3, MissionIntel, 1, UP, 1, 2.239843
4, MissionIntel, 1, DOWN, 3, 35.66557
2, MissionIntel, 0, UP, 3, 70.21436
3, MissionIntel, 1, DOWN, 1, 4.335357
1, MissionKill, 2, UP, 2, 9.653413
3, MissionIntel, 1, UP, 2, 5.321082
1, MissionKill, 2, DOWN, 2, 10.34751
2, MissionIntel, 0, DOWN, 3, 71.53218
1, MissionKill, 2, DOWN, 3, 11.0821
4, MissionIntel, 1, UP, 4, 39.2457
1, MissionKill, 2, UP, 3, 11.69799
4, MissionIntel, 1, DOWN, 4, 40.09397
1, MissionKill, 2, UP, 4, 12.34112
1, MissionKill, 2, UP, 5, 13.05986
4, MissionIntel, 1, DOWN, 5, 40.90149
1, MissionKill, 2, UP, 6, 13.63453
4, MissionIntel, 1, DOWN, 6, 41.52942
1, MissionKill, 2, UP, 7, 14.35311
1, MissionKill, 2, UP, 8, 14.87098
